vid_id,session_id,session_duration
ID_59DJBN2K1T,1e35fc1ae3f61c329a3803dd2e897d2e93017cb7,1058
ID_VOUELDAP5J,cdae9441190cdbe0f5c8c91ed63f9fad2c6e4388,130
ID_TWC05Y7H2K,20495ef25fda6a1cb9a8ed81793b69f9302a0b40,221
ID_9I1YPQ9M9B,90bd7022bce2a68206dae60a48f87e2434471424,248
ID_ARA0DD8MDZ,4b8096a1dc4eb9120907cb8c9b5b88d2b4e92bb1,242
ID_8W7OBGRUZH,085e9545202a588e069f984ca0c4f57dc24353b8,73
ID_LIZX9FP2FQ,5040ce223abb6b3fb460d0c07ff5a756ea83712e,73
ID_LIZX9FP2FQ,5040ce223abb6b3fb460d0c07ff5a756ea83712e,73
ID_F0237H4Q3I,d68743e81fe4d1b3b92ca6eabc52ab2335a73e3a,218
ID_ETCAMHTUW5,3801ac7faa75e8387b6c151e32f8a4dfa94cfbe5,602
ID_H1TCGPZKHB,7f14462b88d92499bebc7cd31f9ac3439323bf7b,212
ID_2MDTMRHGJH,48b8cc4bb4a7c31251945a4c2779840953a01b9e,223
ID_R4BDVEE2UN,cb6b41f6f1a2839e4f32f4d1e1cdb3d766f294c2,393
ID_L030SFOWWD,97d47d2ccde8225b30f39cea504e18dd1dec039f,258
ID_I0VBYW81CU,ce56369018c1ba48ff4460256187279224b7597a,308
ID_33UUMDWKUD,5aef0a8e04932fa300f73e9a7894737747ba2484,175
ID_KAXD5V0ECS,ab192b72f9ea09ed581338c02380d586b4341a73,311
ID_B8C3EDD55Z,0142b57b8135ad3a331fd057741dc3ac8569cb0b,194
ID_B8C3EDD55Z,0142b57b8135ad3a331fd057741dc3ac8569cb0b,194
ID_8AHP5F9DXZ,0ee8623b797edcfc9afbf36072b054fb5746ba0f,859
ID_L22GNTP648,08e13850b51e6b8a3c5d20e35224cc1c6bd1d224,2836
ID_3V9IEIETUT,e07c0fe72c2665a2a403113e5bd0884ea444c541,27
ID_1TDZZOQSKP,97aaef99ce4ae038d8048cefc279e60a06f7bbbd,32
ID_XZQOHRS2NV,6502b8bedc1d6bc28e1e1318bdb598e5f72c8380,15
ID_Z099Y9SPBQ,de20587eafc1038cbc26728bb28f792321bdeea3,49
ID_5RU7WL956T,ebf5acf30cf756c0a9e1c7aaeca5e57b4c2574f4,28
ID_6H51X82R7V,92c8c955c12eefcfc3b17aae2926421efce5b9fe,53
ID_G2DUDLQ658,205c6ed28a289562dbe5b579a7cb5cc8482738b8,30
ID_YG5J1IWLIF,3b112f337916559a690759ab2909a7e4efb11011,503
ID_FW4OFM4YCB,2fd85436ba325a1353f624eb812dbf79cb2c3ba3,418
ID_VN9LY1UDDZ,9e508212e6c34b0928ea1e7af94dafe297e795a9,276
ID_4MOQ0AQD5M,582041892b8ee3c8a95f833412e7db2ca6ee14e3,662
ID_CAJSRXEQQM,c7a8e800f5efec4573ae614853035b29764a90e5,347
ID_LFTGUP6CU8,18212c2f2a9f9deb88a30cf9ad8a745ac04ad3f0,120
ID_XCBSTBZD5G,18b3915c7a57eec6efa104f1ea8c913259322230,76
ID_CS9781H24O,f2e14ab09baca89f60cf7e732318816eec2081f8,145
ID_4SQVWCEYS7,72e75de3b28f96d3a70379a24490e85e54aefa60,78
ID_BWA2E60D7Z,1feb0a74187dc45449b8be007648b2e89d5d1893,361
ID_OFR6DTXW2C,5ce4e5478f8bada6399e50d4d47868387b7d7056,105
ID_ZJP1Y0W3OI,96b2c124aaa5396638e8a327d2e58886e9260501,110
ID_YZBL43Q58C,653c180eec33b57b6a4248e5725f5708970d4ad1,1494
ID_8Q4HJ57O74,9a3ef42e7e2a6074529c1b4363bc69c34e7a03e1,510
ID_51OFF8XSFG,12c787957052c79daa502b3839770989e319ec18,2319
ID_L9917YBUAR,6556d1f5c78a70347231c5e536df96dc08c0a1e1,144
ID_80LJ3INT4T,a71d9f2f4f384cd65eeafa803b43363ac330a56e,361
ID_MAQAJ2D5K7,e9e632afaf14503595c0ac030d4a0537ff258f94,217
ID_UXY11NCSOQ,5b2584e399a44d5e9aa075f23b36832f3b62b0e0,199
ID_WULCCWNFD9,865d7628c8f532dbae1cbb92035d3f9ed8b7f6ca,826
ID_75XAN1U9A7,452fb0e5f2ace94e85630f1b82777f9cf71644cf,346
ID_PPVR09XYP6,8f6780e262b72eb404d5efbda64d33b63c365daa,1050
ID_SL9A458O7O,ec04a2739870a089cee316d30294b61fb3d75b36,322
ID_YBE5OQ3V98,ad37aef750f7227504db63ab90ed31dc2fa9b141,168
ID_Z6GNCJ7VDM,26e5891700d3bd79ece41380fb7fe97fb822aba6,45
ID_F0IS7ZN2UB,fda0d85040fa14cfaa0df38dfdb06098ae691a4c,27
ID_IAD4IM6WKZ,9f8d3c12d780a0741698cf539dc14de518b47c53,22
ID_IAD4IM6WKZ,9f8d3c12d780a0741698cf539dc14de518b47c53,22
ID_HKZJQ5MGJ5,8174c998a439cc9a9b13185069947f984705d892,39
ID_UAL6J7BJRH,6945bacf5ab9778287225efb6fd9ed9345c35617,2
ID_4WAIUJAV15,83c37d53b3dc57ca35272afd38c2211c733d38bf,10
ID_1N4U6X0BDV,73b761853f54e5437b4315ad0eeb19a72261f91d,168
ID_I0VBYW81CU,ad99243d95e16afa5adfa80d68e50d746dccfdca,93
ID_IR8O2DBLGS,cff7792daea8827b1c6660436c33b3185ef8299d,8
ID_VNT27T46V0,d267fca0059dddba5e3d03fcbeaee2863ef091e5,26
ID_MVP1ZCTPKU,6cba8e2fb4003173749f6adafb213894d5f01da3,4
ID_J2FPDD7R99,e91d31a2459dd0d218f5366abf9448f85161c81c,93
ID_CT95EGARMP,61f3d0a120e56841dd9da4150d82b16e712b1025,66
ID_14DWGMBSG8,3c407c814a83fc45bd67e281956ff1fd137c16fa,244
ID_M03CCOOEHY,bcd37d1c4c91b6edce0800c77c5ba85678e4b403,16
ID_08IB0MPIUY,0704241e6c98ffe527985f336cf467cab09b7dee,19
ID_IOEXGTQHRL,8928df235aa968b013444b48dd73df3afafbd7f1,17
ID_YQ7XX9JPNB,44cba2bf65404e496c3d29cc3bf306b9ceb1297c,104
ID_C2T6XZ6UWW,693c1c19c0f60b320f7d90ddb62cbfb7e2650f32,24
ID_P8TA8AKKKX,5308899865fbb58ec4bb0e87b3254e79ec52df00,111
ID_MYVXVAH8QN,0e93a34cb52d8f1ef6be824e66543e68325ab3e8,8
ID_RPKAO0Z8Z2,a22eb3762d826590ab55ddcf78aaf87dc76fff42,6
ID_9PQA2QRUP8,2a916677640d206e5f7ecc21ae3b50e7f8df7873,12
ID_OHN7XKFXOW,5efc565b3de73b13723a3837d63e5cdee73d51c2,2
ID_OK1LR9CU1Z,2251cc6550e80e23a49635f4a4d2de95be646ca6,17
ID_QNVHB9NCJW,3dc281bcdedc4d98eb3066248aade09a9840a93d,8
ID_UNACZD066O,7dfca51cce64b43527b65b0d9ac4d5e851af833f,158
ID_T38FLJT088,b0c24dc01d824cfd7560b753597fc21e581ef518,120
ID_YQV4N8ZY66,5105a31fb55308fe49eb9ce523c0d4381f36bdc4,3
ID_BAICQNLN1I,655927c3643714fd377abca2358d4e4d5f7075d1,4
ID_1N8DWEJ2DG,57d140b0316f9d390931d8b237047fa6a774fbf6,13
ID_T9T069B45E,6f2e8fe306202ef318a3c5628d24ca3d7bc96426,114
ID_K92L7HQILR,1eb890a39d86cab35d37ed977ca78e63e933df41,8
ID_A9NQOX3UL6,6b7a7443babc50393c579b0c900d81bd727a5a30,13
ID_VUPMR7NLU4,6d516d18bf19702d4452c1c678bd034b8cec2100,24
ID_VX9XENPSUV,fa21642775c7a753b3482556805ef390f776b5ec,81
