vid_id,index,frame,vidTime,timelineRatio,session_duration,s_count,v_frac,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_vol,framediff,framestd,framestdmean
ID_002A8R96RR,,,,,,,,,,,,,,,,,,,
ID_00ICG61TR0,4000.0,2946.066,98.2,0.2727,203.0,5222.222222222223,0.463,9000.0,2777.777777777778,144555.56,144555.56,1.077,142.1,,0.18466666666666667,4166.6665,3.125,9.53,9.53
ID_00IHLV314R,11500.0,3261.3564,108.7,0.3452,114.0,2666.6666666666665,0.8335,6000.0,2000.0,10833.333,10833.333,1.38,174.0,3.9325539911477416,0.0,5000.0,3.674,32.84,32.84
ID_00M4ZAGCBJ,,,,,,,,,,,,,,,,,,,
ID_00PS2WSO4H,15000.0,480.0,16.0,0.007732,32.0,2000.0,0.5,1000.0,1000.0,1500.0,1500.0,1.0,32.0,1.0,1.0,500.0,0.961,2.15e-05,2.15e-05
ID_01JCVAZA9A,21500.0,3318.8333,110.6,0.3687,162.75,3333.3333333333335,0.6665,12000.0,1833.3333333333333,21583.334,21583.334,1.495,183.2,2.298063166318454,0.08333333333333333,8000.0,4.344,18.19,18.19
ID_01OEIQO3LL,28000.0,1533.9689,51.12,0.4124,92.0,2000.0,0.5,1000.0,1000.0,1500.0,1500.0,1.0,109.0,1.184782608695652,0.0,500.0,3.273,19.9,19.9
ID_01T0F09T0Q,33500.0,4098.6235,136.6,0.445,268.0,3600.0,0.84,10000.0,2000.0,10800.0,10800.0,1.019,188.9,2.251245514381452,0.2,8400.0,3.549,15.484,15.484
ID_025ONV4VI2,49500.0,3102.662,103.44,0.3413,67.45454545454545,2181.818181818182,0.9395,22000.0,2000.0,21272.727,21272.727,1.017,146.6,4.670724371751806,0.09090909090909091,20666.666,3.02,41.5,41.5
ID_02YATQASIF,62000.0,10485.554,349.5,0.176,118.66666666666667,3000.0,1.0,3000.0,3000.0,3000.0,3000.0,1.0,743.0,19.688278847001765,0.0,3000.0,19.78,323.0,323.0
ID_037KWK05R6,,,,,,,,,,,,,,,,,,,
ID_03HGAAZEAG,64000.0,25112.676,837.0,0.5244,19.0,2000.0,0.5,1000.0,1000.0,1000.0,1000.0,1.0,952.0,50.10526315789474,0.0,500.0,28.6,655.5,655.5
ID_03TU3MZQGJ,74500.0,3484.8203,116.2,0.3416,144.6,2200.0,0.95,20000.0,2000.0,25200.0,25200.0,1.169,161.5,4.253904767706123,0.05,19000.0,3.102,32.3,32.3
ID_042E5L24E9,89500.0,3167.181,105.56,0.3518,133.2,2000.0,1.0,10000.0,2000.0,10000.0,10000.0,1.0,160.9,1.3254629459136105,0.2,10000.0,3.307,17.16,17.16
ID_0462U5LRPI,97000.0,10002.513,333.5,0.2144,63.4,2600.0,0.8,5000.0,2200.0,4600.0,4600.0,1.012,698.5,16.83116716862923,0.0,4000.0,17.6,99.7,99.7
ID_04P6X6W595,100500.0,1.493994,0.0498,3.14e-05,2.5,2000.0,1.0,2000.0,2000.0,2000.0,2000.0,1.0,0.498,,0.0995,2000.0,0.01495,0.04498,0.04498
ID_04TP96I4E9,104500.0,1226.0226,40.88,0.1688,36.666666666666664,2000.0,1.0,6000.0,2000.0,6000.0,6000.0,1.0,63.8,1.5569807957905384,0.3333333333333333,6000.0,1.32,11.33,11.32
ID_051D6UP9V8,,,,,,,,,,,,,,,,,,,
ID_05967H6N7S,117000.0,3215.29,107.2,0.3435,76.52631578947368,3315.7894736842104,0.8247,19000.0,1947.3684210526317,19771.93,19771.93,1.03,148.6,3.697253052751208,0.15789473684210525,15666.667,2.729,24.53,24.53
ID_05SN15DLBL,131500.0,2330.613,77.7,0.335,104.8,2000.0,1.0,10000.0,2000.0,10000.0,10000.0,1.0,121.75,1.3951736757450501,0.1,10000.0,2.43,15.68,15.68
ID_060ZPO7H7Z,142500.0,3614.0889,120.5,0.3684,127.33333333333333,2166.6666666666665,0.9165,12000.0,2000.0,11444.444,11444.444,1.015,171.5,6.450056788984396,0.08333333333333333,11000.0,3.172,34.53,34.53
ID_06HA9V2OLQ,,,,,,,,,,,,,,,,,,,
ID_06VCKT4B7T,152500.0,4055.4941,135.1,0.3755,68.5,2000.0,1.0,8000.0,2000.0,8000.0,8000.0,1.0,188.9,3.1370094737787353,0.125,8000.0,3.682,35.66,35.66
ID_06VGVYS5GP,157000.0,125.96397,4.2,0.002575,10.0,2000.0,0.5,1000.0,1000.0,1500.0,1500.0,1.0,6.0,0.6,0.0,500.0,0.1802,0.1471,0.1471
ID_079BNW5YFO,159000.0,13176.451,439.2,0.2288,210.66666666666666,2333.3333333333335,0.778,3000.0,1666.6666666666667,3111.111,3111.111,1.002,748.0,3.137483785277952,0.0,2333.3333,21.9,94.75,94.75
ID_081PE3PH4F,,,,,,,,,,,,,,,,,,,
ID_083NBYJI47,166000.0,5351.246,178.4,0.4956,127.0,5000.0,0.5645,11000.0,1909.090909090909,20109.957,20109.957,1.186,239.1,5.3300754269353146,0.09090909090909091,6209.524,4.504,39.53,39.53
ID_08IB0MPIUY,197500.0,2691.6355,89.75,0.302,86.03846153846153,2500.0,0.981,52000.0,2461.5384615384614,51423.08,51423.08,1.004,131.2,2.9084531135044616,0.1346153846153846,51000.0,2.39,18.86,18.86
ID_08PWP3OBC7,229500.0,547.8434,18.27,0.0774,39.666666666666664,3166.6666666666665,0.8335,12000.0,2666.6666666666665,21888.889,21888.889,1.508,25.33,0.7223271733254488,0.25,10000.0,0.4324,1.491,1.491
ID_08VOHUFJ3C,237500.0,29012.6,967.0,0.5396,80.0,4000.0,0.375,4000.0,1500.0,4541.667,4541.6665,1.057,1584.0,29.589564627347418,0.0,1500.0,36.62,281.5,281.5
