vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_frac,v_vol
ID_00W17KW3SB,43500.0,17100.822,570.0,0.2747,325.67045454545456,88000.0,1204.5454545454545,87310.61,87310.61,1.008,1116.0,,0.125,0.983,86500.0
ID_017OO0Q1W4,93000.0,1783.2207,59.44,0.2927,50.0,11000.0,1909.090909090909,10727.272,10727.272,1.009,89.0,3.7324158039180593,0.18181818181818182,0.9546,10500.0
ID_01VIRE6XSU,102500.0,9304.091,310.2,0.2063,345.125,8000.0,1000.0,8000.0,8000.0,1.0,644.0,6.805356850704153,0.0,1.0,8000.0
ID_03KW1B84V6,109000.0,214.91998,7.164,0.2756,40.4,5000.0,1000.0,5000.0,5000.0,1.0,15.79,0.7235623770784909,0.6,1.0,5000.0
ID_046QP6U1AF,159500.0,15285.463,509.5,0.3125,291.59375,96000.0,1145.8333333333333,91562.5,91562.5,1.023,919.5,,0.14583333333333334,0.9307,89333.336
ID_052H2LEQ1V,217000.0,19272.559,642.5,0.3694,170.52631578947367,19000.0,1105.2631578947369,23833.334,23833.334,1.158,1130.0,13.501461039444782,0.10526315789473684,0.877,16666.666
ID_099HIAUAG9,230500.0,1886.7435,62.9,0.2048,30.875,8000.0,1500.0,8000.0,8000.0,1.0,94.4,3.743762165781404,0.25,1.0,8000.0
ID_0A90K3DZCF,239500.0,2454.0933,81.8,0.322,50.6,10000.0,2800.0,10000.0,10000.0,1.0,114.1,3.653744633393763,0.1,1.0,10000.0
ID_0BRZ2GCONL,247500.0,23589.186,786.5,0.405,176.83333333333334,6000.0,1000.0,6000.0,6000.0,1.0,1146.0,23.77470478609039,0.16666666666666666,1.0,6000.0
ID_0C6Q7MGE5D,253500.0,22105.6,737.0,0.4702,312.5,6000.0,1000.0,6000.0,6000.0,1.0,1289.0,11.27563654400541,0.0,1.0,6000.0
ID_0CKRWAKBCV,261000.0,3857.2957,128.6,0.3572,163.44444444444446,9000.0,2777.777777777778,9444.444,9444.444,1.003,189.5,1.9171400775481,0.0,0.778,7000.0
