vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,framediff,framestd,framestdmean
ID_00APUTFP52,9500.0,2158.7993,71.94,0.3257,47.1,20000.0,1900.0,20000.0,20000.0,1.0,2.219479,19.94,19.94
ID_00RUHRU039,22000.0,15584.357,519.5,0.2979,178.4,5000.0,1000.0,5000.0,5000.0,1.0,29.96712,214.8,214.8
ID_00XGU0PPYW,31000.0,20143.979,671.5,0.392,214.07692307692307,13000.0,1000.0,13000.0,13000.0,1.0,36.870476,288.2,288.2
ID_00XMMA5YKY,40000.0,8125.611,270.8,0.1418,269.8,5000.0,1000.0,5000.0,5000.0,1.0,19.85157,180.8,180.8
ID_01HR48WKYU,67500.0,3083.9106,102.8,0.3022,234.0,50000.0,1840.0,50000.0,50000.0,1.0,3.7677076,15.02,15.02
ID_02LND0D75I,98500.0,20838.908,694.5,0.403,181.33333333333334,12000.0,1000.0,12458.333,12458.333,1.011,28.466166,183.5,183.5
ID_036NRKTQ7N,155500.0,17307.738,577.0,0.3562,278.80392156862746,102000.0,1098.0392156862745,102000.0,102000.0,1.0,33.3388,210.1,210.1
ID_05KH1PJBSR,213500.0,2236.2732,74.56,0.3672,136.07142857142858,14000.0,1857.142857142857,14000.0,14000.0,1.0,2.4391184,12.71,12.71
ID_07T8CPWFZ2,223500.0,11098.1875,370.0,0.2415,205.83333333333334,6000.0,1333.3333333333333,6000.0,6000.0,1.0,17.753845,109.3,109.3
ID_0AXT7QKXNB,243500.0,2485.9111,82.9,0.2837,156.14705882352942,34000.0,1823.5294117647059,33813.727,33813.727,1.011,3.390809,16.4,16.4
ID_0B137UZLHO,262500.0,20128.695,671.0,0.405,360.25,4000.0,1000.0,5000.0,5000.0,1.094,32.168045,139.5,139.6
ID_0BZ04FWQ4R,267000.0,13988.311,466.2,0.2869,95.6,5000.0,1000.0,5000.0,5000.0,1.0,26.321133,246.0,245.9
ID_0C7SJTUIBN,272500.0,4916.5977,163.9,0.4382,247.66666666666666,6000.0,1000.0,6000.0,6000.0,1.0,9.865632,38.5,38.5
ID_0D2671U5U4,279500.0,19150.914,638.5,0.3643,159.5,8000.0,1000.0,21260.416,21260.416,2.336,29.592875,208.6,208.6
ID_0D45Y94TY9,288500.0,2790.1233,93.0,0.307,140.2,10000.0,2600.0,10000.0,10000.0,1.0,3.3313367,21.66,21.66
ID_0EMDAV8MB2,294500.0,690.0,23.0,0.511,46.0,2000.0,1000.0,2000.0,2000.0,1.0,1.3813814,3.36e-05,3.36e-05
ID_0GZHAH7D53,299500.0,2713.151,90.44,0.344,106.75,8000.0,1500.0,8000.0,8000.0,1.0,4.5296664,14.52,14.52
ID_0H4TSVF7NW,317000.0,2301.5645,76.75,0.3635,102.14814814814815,27000.0,1592.5925925925926,29444.443,29444.445,1.064,3.4045916,15.734,15.734
ID_0HW7AT7VV6,333500.0,489.55383,16.31,0.3794,32.666666666666664,6000.0,1000.0,6000.0,6000.0,1.0,0.9858006,0.09216,0.09216
ID_0KHATNWMWH,342500.0,5369.548,179.0,0.5967,135.58333333333334,12000.0,1833.3333333333333,12000.0,12000.0,1.0,4.4368153,17.5,17.52
ID_0LMJVJ407Q,394500.0,3465.5212,115.5,0.3943,159.77173913043478,92000.0,2086.9565217391305,92000.0,92000.0,1.0,4.123125,26.86,26.86
ID_0M0BIVYOFO,445500.0,3246.8887,108.25,0.449,65.8,10000.0,2000.0,10000.0,10000.0,1.0,3.0596685,44.78,44.8
ID_0NO3T9KH5B,456000.0,21647.291,721.5,0.4685,139.27272727272728,11000.0,1000.0,13954.546,13954.546,1.183,35.332672,291.5,291.8
ID_0NT9JMKTDO,464000.0,26322.752,877.5,0.503,444.6,5000.0,1000.0,5000.0,5000.0,1.0,43.64675,271.8,271.8
ID_0O2V6FGN5K,471000.0,3747.641,124.94,0.3499,79.66666666666667,9000.0,1666.6666666666667,9000.0,9000.0,1.0,4.11168,10.14,10.14
ID_0O6MBIH328,481500.0,23647.152,788.0,0.5093,178.66666666666666,12000.0,1166.6666666666667,12777.777,12777.777,1.025,31.591545,335.0,335.0
ID_0PED6TQ2OK,492000.0,26456.201,882.0,0.4966,132.55555555555554,9000.0,1222.2222222222222,9000.0,9000.0,1.0,38.120785,316.8,316.8
ID_0PPMOOJT7K,499000.0,382.33252,12.74,0.3354,29.0,5000.0,1000.0,5000.0,5000.0,1.0,0.8048048,1.912,1.912
ID_0R49S8EDHR,510500.0,22700.836,756.5,0.421,190.22222222222223,18000.0,1000.0,17805.555,17805.555,1.003,36.63026,357.8,357.8
ID_0RHIYBMA17,521500.0,10959.859,365.2,0.4827,493.75,4000.0,1000.0,4000.0,4000.0,1.0,20.59791,48.1,48.1
ID_0RI665QXL1,526000.0,18339.412,611.5,0.3735,73.6,5000.0,1000.0,5000.0,5000.0,1.0,33.705463,306.2,306.0
ID_0SGG9QEC25,535000.0,915.10034,30.5,0.1277,53.15384615384615,13000.0,1923.076923076923,13961.538,13961.538,1.041,1.223119,5.484,5.484
ID_0USZLDBDX2,552500.0,21814.893,727.0,0.4504,184.04545454545453,22000.0,2000.0,21136.363,21136.363,1.027,30.687096,239.6,239.8
ID_0W7NKRT8GZ,564500.0,116.665985,3.889,0.389,11.0,2000.0,1000.0,2000.0,2000.0,1.0,0.30016503,0.2683,0.2683
ID_0WMZ5KDFOG,568000.0,6493.0234,216.4,0.1345,200.6,5000.0,1000.0,5000.0,5000.0,1.0,22.462025,66.6,66.6
ID_0WTZ1N9B9E,579000.0,16665.637,555.5,0.4785,1011.1176470588235,17000.0,1000.0,17000.0,17000.0,1.0,30.557707,62.5,62.5
ID_0XDFR7KNHK,588500.0,684.40045,22.81,0.4563,58.5,2000.0,1000.0,2000.0,2000.0,1.0,1.5015016,1.844,1.845
ID_0XUT21CHR4,593500.0,14320.152,477.2,0.257,305.875,8000.0,1000.0,8000.0,8000.0,1.0,25.905827,95.4,95.4
ID_0YLPO1LNC8,644000.0,23240.908,774.5,0.3962,2697.569892473118,93000.0,1215.0537634408602,90520.734,90520.734,1.022,34.013214,266.2,266.2
ID_0ZIV6MAGP8,703500.0,3581.634,119.4,0.3662,134.96153846153845,26000.0,1846.1538461538462,26000.0,26000.0,1.0,4.3325453,27.72,27.72
